h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENST00000492465		False	ENSG00000107874	CUEDC2	True		
ENSG00000272933	TRIM8-DT	False	ENSG00000107882	SUFU	False		
ENST00000435813		False	ENSG00000107984	DKK1	True		
ENSG00000272764		False	ENSG00000108021	TASOR2	False		
ENST00000585911		False	ENSG00000108107	RPL28	False		
ENSG00000226659	TSPAN14-AS1	False	ENSG00000108219	TSPAN14	False		
ENSG00000224738		False	ENSG00000108389	MTMR4	False		
ENSG00000273702		False	ENSG00000108406	DHX40	False		
CUFF.78361		False	ENSG00000108423	TUBD1	False		
ENSG00000224738		False	ENSG00000108423	TUBD1	False		
ENST00000582787		False	ENSG00000108439	PNPO	True		
CUFF.78361		False	ENSG00000108443	RPS6KB1	True		
ENSG00000224738		False	ENSG00000108443	RPS6KB1	True		
ENST00000582787		False	ENSG00000108465	CDK5RAP3	False		
ENSG00000263798		False	ENSG00000108465	CDK5RAP3	False		
ENST00000487066		False	ENSG00000108474	PIGL	False		
ENST00000580180		False	ENSG00000108474	PIGL	False		
ENST00000475947		False	ENSG00000108474	PIGL	False		
ENST00000582911		False	ENSG00000108474	PIGL	False		
ENST00000584926		False	ENSG00000108474	PIGL	False		
ENST00000492250		False	ENSG00000108474	PIGL	False		
ENST00000578380		False	ENSG00000108474	PIGL	False		
ENST00000477249		False	ENSG00000108474	PIGL	False		
ENST00000470491		False	ENSG00000108474	PIGL	False		
ENST00000581913		False	ENSG00000108474	PIGL	False		
ENST00000481027		False	ENSG00000108474	PIGL	False		
ENST00000480811		False	ENSG00000108474	PIGL	False		
ENST00000484836		False	ENSG00000108474	PIGL	False		
ENSG00000187013	LINC02875	False	ENSG00000108479	GALK1	False		
ENSG00000267801		False	ENSG00000108479	GALK1	False		
